url_length,dot_count,has_https,has_suspicious_keywords,has_ip_address,at_symbol_count,hyphen_count,double_slash_count,subdomain_depth,path_depth,has_suspicious_tld,has_redirect,special_char_ratio,brand_impersonation,domain_age_days,domain_expiry_days,has_valid_ssl,label
25,4,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
46,2,0,0,0,0,0,0,0,4,0,0,0.0,0,-1,-1,-1,1
30,2,0,0,0,0,0,0,0,3,0,0,0.0,0,-1,-1,-1,1
25,1,0,0,0,0,0,0,0,3,0,0,0.0,0,-1,-1,-1,0
60,1,0,0,0,0,0,0,0,4,0,0,0.0,0,-1,-1,-1,1
11,1,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,-1,1
48,2,0,0,0,0,1,0,0,3,0,0,0.0,1,-1,-1,-1,1
36,1,0,0,0,0,0,0,0,2,0,0,0.0278,0,-1,-1,-1,0
25,2,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
34,1,0,0,0,0,0,0,0,3,0,0,0.0,0,-1,-1,-1,1
50,1,0,0,0,0,1,0,0,5,0,0,0.0,0,-1,-1,-1,0
41,2,0,0,0,0,0,0,0,3,0,0,0.0,0,-1,-1,-1,1
49,3,0,0,0,0,1,0,0,3,0,0,0.0,0,-1,-1,-1,0
51,2,0,0,0,0,1,0,0,4,0,0,0.0,0,-1,-1,-1,0
65,2,0,0,0,0,1,0,0,6,0,0,0.0,0,-1,-1,-1,1
47,1,0,0,0,0,3,0,0,2,0,0,0.0,0,-1,-1,-1,0
11,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,0
53,3,0,0,0,0,1,0,0,4,0,0,0.0566,0,-1,-1,-1,0
63,2,0,0,0,0,3,0,0,2,0,0,0.0635,0,-1,-1,-1,0
41,2,0,0,0,0,0,0,0,1,0,0,0.0488,0,-1,-1,-1,0
96,1,0,0,0,0,0,0,0,2,0,0,0.0833,0,-1,-1,-1,0
44,2,0,0,0,0,0,0,0,5,0,0,0.0,0,-1,-1,-1,1
26,2,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
34,1,0,0,0,0,0,0,0,2,0,0,0.0294,0,-1,-1,-1,1
41,2,0,0,0,0,0,0,0,5,0,0,0.0,0,-1,-1,-1,1
50,2,0,0,0,0,2,0,0,3,0,0,0.0,0,-1,-1,-1,0
28,2,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
55,1,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
48,1,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,1
102,1,0,0,0,0,9,0,0,5,0,0,0.0,0,-1,-1,-1,0
22,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
65,1,0,0,0,0,1,0,0,4,0,0,0.0,0,-1,-1,-1,1
26,2,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
70,1,0,0,0,0,1,0,0,4,0,0,0.0143,1,-1,-1,-1,1
21,2,0,1,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,1
48,1,0,0,0,0,3,0,0,2,0,0,0.0208,0,-1,-1,-1,0
22,2,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,0
9,1,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,-1,1
31,1,0,0,0,0,0,0,0,1,0,0,0.0968,0,-1,-1,-1,0
127,3,0,0,0,1,1,0,0,2,0,0,0.1654,0,-1,-1,-1,1
